id,buggy,fixed,pair,label
patch10-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(namespace,'.');","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(namespace,'.');",1
patch2-Closure-18-3sfix.patch,if (options.dependencyOptions.needsManagement() && options.closurePass) {,if(options.dependencyOptions.needsManagement()){,if (options.dependencyOptions.needsManagement() && options.closurePass) {<EOS>if(options.dependencyOptions.needsManagement()){,0
patch2-Closure-38-3sfix.patch,if (x < 0 && prev == '-') {,if((prev!=0)&&(prev=='-')){,if (x < 0 && prev == '-') {<EOS>if((prev!=0)&&(prev=='-')){,1
patch2-Closure-73-3sfix.patch,if (c > 0x1f && c <= 0x7f) {,if((c>=31)&&(c<127)){,if (c > 0x1f && c <= 0x7f) {<EOS>if((c>=31)&&(c<127)){,1
patch2-Closure-86-3sfix.patch,return true;,return NodeUtil.isImmutableValue(value);,return true;<EOS>return NodeUtil.isImmutableValue(value);,1
patch2-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_NULL_ARGUMENT_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_NULL_ARGUMENT_ERROR"");",1
patch2-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_NULL_ARGUMENT_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_NULL_ARGUMENT_ERROR"");",1
patch3-Closure-18-3sfix.patch,if (options.dependencyOptions.needsManagement() && options.closurePass) {,if(((options)!=null)&&(options.dependencyOptions.needsManagement())){,if (options.dependencyOptions.needsManagement() && options.closurePass) {<EOS>if(((options)!=null)&&(options.dependencyOptions.needsManagement())){,1
patch3-Closure-38-3sfix.patch,if (x < 0 && prev == '-') {,if((prev<0)||(prev=='-')){,if (x < 0 && prev == '-') {<EOS>if((prev<0)||(prev=='-')){,1
patch3-Closure-73-3sfix.patch,if (c > 0x1f && c <= 0x7f) {,if(((c> 31)&&(c<127))&&(c<=127)){,if (c > 0x1f && c <= 0x7f) {<EOS>if(((c> 31)&&(c<127))&&(c<=127)){,0
patch3-Closure-86-3sfix.patch,return true;,return locals.apply(value);,return true;<EOS>return locals.apply(value);,1
patch3-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_INVALID_ARGUMENT_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_INVALID_ARGUMENT_ERROR"");",1
patch3-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_INVALID_ARGUMENT_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_INVALID_ARGUMENT_ERROR"");",1
patch4-Closure-18-3sfix.patch,if (options.dependencyOptions.needsManagement() && options.closurePass) {,if(((options.dependencyOptions)!=null)&&(options.dependencyOptions.needsManagement())){,if (options.dependencyOptions.needsManagement() && options.closurePass) {<EOS>if(((options.dependencyOptions)!=null)&&(options.dependencyOptions.needsManagement())){,1
patch4-Closure-86-3sfix.patch,return true;,return NodeUtil.isToStringMethodCall(value);,return true;<EOS>return NodeUtil.isToStringMethodCall(value);,1
patch4-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_NON_STRING_PASSED_TO_SET_CSS_NAME_MAPPING_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_NON_STRING_PASSED_TO_SET_CSS_NAME_MAPPING_ERROR"");",1
patch4-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_NON_STRING_PASSED_TO_SET_CSS_NAME_MAPPING_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_NON_STRING_PASSED_TO_SET_CSS_NAME_MAPPING_ERROR"");",1
patch5-Closure-18-3sfix.patch,if (options.dependencyOptions.needsManagement() && options.closurePass) {,if(((options)==null)||(options.dependencyOptions.needsManagement())){,if (options.dependencyOptions.needsManagement() && options.closurePass) {<EOS>if(((options)==null)||(options.dependencyOptions.needsManagement())){,1
patch5-Closure-86-3sfix.patch,return true;,return NodeUtil.evaluatesToLocalValue(value.getFirstChild());,return true;<EOS>return NodeUtil.evaluatesToLocalValue(value.getFirstChild());,1
patch5-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_DUPLICATE_NAMESPACE_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_DUPLICATE_NAMESPACE_ERROR"");",1
patch5-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_DUPLICATE_NAMESPACE_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_DUPLICATE_NAMESPACE_ERROR"");",1
patch6-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_TOO_MANY_ARGUMENTS_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_TOO_MANY_ARGUMENTS_ERROR"");",1
patch6-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_TOO_MANY_ARGUMENTS_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_TOO_MANY_ARGUMENTS_ERROR"");",1
patch7-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_LATE_PROVIDE_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_LATE_PROVIDE_ERROR"");",1
patch7-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_LATE_PROVIDE_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_LATE_PROVIDE_ERROR"");",1
patch8-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(0,'.');","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(0,'.');",1
patch8-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(0,'.');","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(0,'.');",1
patch9-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_BASE_CLASS_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_BASE_CLASS_ERROR"");",1
patch9-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(""JSC_BASE_CLASS_ERROR"");","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(""JSC_BASE_CLASS_ERROR"");",1
patch-Closure-3-reference.patch, if (c.canInline()) {, if (c.canInline(t.getScope())) {, if (c.canInline()) {<EOS> if (c.canInline(t.getScope())) {,0
patch-Closure-4-reference.patch,if (detectImplicitPrototypeCycle()) {,if (detectInheritanceCycle()) {,if (detectImplicitPrototypeCycle()) {<EOS>if (detectInheritanceCycle()) {,0
patch-Closure-10-reference.patch, return allResultsMatch(n, return anyResultsMatch(n, return allResultsMatch(n<EOS> return anyResultsMatch(n,0
patch-Closure-14-reference.patch,cfa.createEdge(fromNode,cfa.createEdge(fromNode,cfa.createEdge(fromNode<EOS>cfa.createEdge(fromNode,0
patch-Closure-20-reference.patch, if (value != null) {,if (value != null && value.getNext() == null &&  NodeUtil.isImmutableValue(value)) {           , if (value != null) {<EOS>if (value != null && value.getNext() == null &&  NodeUtil.isImmutableValue(value)) {           ,0
patch-Closure-21-reference.patch,if (n.isExprResult()) {,if (n.isExprResult() || n.isBlock()) {,if (n.isExprResult()) {<EOS>if (n.isExprResult() || n.isBlock()) {,0
patch-Closure-30-reference.patch,(new NodeTraversal(compiler,(new NodeTraversal(compiler,(new NodeTraversal(compiler<EOS>(new NodeTraversal(compiler,0
patch-Closure-38-reference.patch,if (x < 0 && prev == '-') {,if ((x < 0 || negativeZero) && prev == '-') {,if (x < 0 && prev == '-') {<EOS>if ((x < 0 || negativeZero) && prev == '-') {,0
patch-Closure-51-reference.patch,if ((long) x == x) {,if ((long) x == x && !isNegativeZero(x)) {,if ((long) x == x) {<EOS>if ((long) x == x && !isNegativeZero(x)) {,0
patch-Closure-52-reference.patch,return len > 0;,return len > 0 && s.charAt(0) != '0';,return len > 0;<EOS>return len > 0 && s.charAt(0) != '0';,0
patch-Closure-55-reference.patch,return NodeUtil.isFunctionExpression(n);,return NodeUtil.isFunctionExpression(n)  && !NodeUtil.isGetOrSetKey(n.getParent());          ,return NodeUtil.isFunctionExpression(n);<EOS>return NodeUtil.isFunctionExpression(n)  && !NodeUtil.isGetOrSetKey(n.getParent());          ,0
patch-Closure-57-reference.patch,if (target != null) {,if (target != null && target.getType() == Token.STRING) {,if (target != null) {<EOS>if (target != null && target.getType() == Token.STRING) {,0
patch-Closure-59-reference.patch,if (options.checkGlobalThisLevel.isOn()) {,if (options.checkGlobalThisLevel.isOn() &&!options.disables(DiagnosticGroups.GLOBAL_THIS)) {,if (options.checkGlobalThisLevel.isOn()) {<EOS>if (options.checkGlobalThisLevel.isOn() &&!options.disables(DiagnosticGroups.GLOBAL_THIS)) {,0
patch-Closure-62-reference.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {, && 0 <= charno && charno <= sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS> && 0 <= charno && charno <= sourceExcerpt.length()) {,0
patch-Closure-65-reference.patch," case '\0': sb.append(""\\0""); break;","case '\0': sb.append(""\\000""); break;"," case '\0': sb.append(""\\0""); break;<EOS>case '\0': sb.append(""\\000""); break;",0
patch-Closure-70-reference.patch,"jsDocParameter.getJSType(), true);"," jsDocParameter.getJSType(), false);","jsDocParameter.getJSType(), true);<EOS> jsDocParameter.getJSType(), false);",0
patch-Closure-71-reference.patch,boolean isOverride = t.inGlobalScope() &&,boolean isOverride = parent.getJSDocInfo() != null &&,boolean isOverride = t.inGlobalScope() &&<EOS>boolean isOverride = parent.getJSDocInfo() != null &&,0
patch-Closure-73-reference.patch,if (c > 0x1f && c <= 0x7f) {,if (c > 0x1f && c < 0x7f) {,if (c > 0x1f && c <= 0x7f) {<EOS>if (c > 0x1f && c < 0x7f) {,0
patch-Closure-92-reference.patch,int indexOfDot = namespace.indexOf('.');,int indexOfDot = namespace.lastIndexOf('.');,int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot = namespace.lastIndexOf('.');,0
patch-Closure-97-reference.patch,result = lvalInt >>> rvalInt;,result = lvalLong >>> rvalInt;            ,result = lvalInt >>> rvalInt;<EOS>result = lvalLong >>> rvalInt;            ,0
patch-Closure-104-reference.patch,if (result != null) {,if (!result.isNoType()) {,if (result != null) {<EOS>if (!result.isNoType()) {,0
patch-Closure-113-reference.patch,if (provided != null) {,if (provided != null || requiresLevel.isOn()) {,if (provided != null) {<EOS>if (provided != null || requiresLevel.isOn()) {,0
patch-Closure-114-reference.patch,} else {,} else if (!(parent.isCall() && parent.getFirstChild() == n)) {,} else {<EOS>} else if (!(parent.isCall() && parent.getFirstChild() == n)) {,0
patch-Closure-123-reference.patch,Context rhsContext = Context.OTHER;,Context rhsContext = getContextForNoInOperator(context);,Context rhsContext = Context.OTHER;<EOS>Context rhsContext = getContextForNoInOperator(context);,0
patch-Closure-125-reference.patch,if (fnType != null) {,if (fnType != null && fnType.hasInstanceType()) {,if (fnType != null) {<EOS>if (fnType != null && fnType.hasInstanceType()) {,0
patch-Closure-130-reference.patch,if (name.globalSets == 1 && name.localSets == 0 &&,if (!name.inExterns && name.globalSets == 1 && name.localSets == 0 &&,if (name.globalSets == 1 && name.localSets == 0 &&<EOS>if (!name.inExterns && name.globalSets == 1 && name.localSets == 0 &&,0
