id,buggy,fixed,pair,label
patch1-Lang-51-Nopol2017.patch,(str.charAt(2) == 'S' || str.charAt(2) == 's');,(str.charAt(2) == 'S' || str.charAt(2) == 's');,(str.charAt(2) == 'S' || str.charAt(2) == 's');<EOS>(str.charAt(2) == 'S' || str.charAt(2) == 's');,1
patch1-Lang-58-Elixir-plausible.patch,&& isDigits(numeric.substring(1)),|| isDigits(numeric.substring(1)),&& isDigits(numeric.substring(1))<EOS>|| isDigits(numeric.substring(1)),1
patch1-Lang-59-CapGen-plausible.patch,ensureCapacity(size + width);,ensureCapacity((size) + 5);,ensureCapacity(size + width);<EOS>ensureCapacity((size) + 5);,1
patch1-Lang-6-HDRepair.patch,if (out == null) {,if (out != null) {,if (out == null) {<EOS>if (out != null) {,1
patch1-Lang-6-SketchFix-plausible.patch,"pos += Character.charCount(Character.codePointAt(input, pos));","pos += Character.charCount(Character.codePointAt(input, true));","pos += Character.charCount(Character.codePointAt(input, pos));<EOS>pos += Character.charCount(Character.codePointAt(input, true));",1
patch1-Lang-63-SimFix-plausible.patch,if (endValue < startValue) {,if (endValue < field) {,if (endValue < startValue) {<EOS>if (endValue < field) {,1
patch1-Lang-7-JGenProg2017.patch,return null;,return java.lang.Long.parseLong(str);,return null;<EOS>return java.lang.Long.parseLong(str);,1
patch10-Lang-59-CapGen-plausible.patch,ensureCapacity(size + width);,ensureCapacity(size + width);,ensureCapacity(size + width);<EOS>ensureCapacity(size + width);,1
patch11-Lang-59-CapGen-plausible.patch,ensureCapacity(size + width);,ensureCapacity(size + width);,ensureCapacity(size + width);<EOS>ensureCapacity(size + width);,1
patch12-Lang-59-CapGen-plausible.patch,if (strLen >= width) {,if (strLen >= width) {,if (strLen >= width) {<EOS>if (strLen >= width) {,1
patch13-Lang-59-CapGen-plausible.patch,if (strLen >= width) {,if (strLen >= width) {,if (strLen >= width) {<EOS>if (strLen >= width) {,1
patch2-Lang-20-Arja-plausible.patch,StringBuilder buf = new StringBuilder((array[startIndex] == null ? 16 : array[startIndex].toString().length()) + separator.length());,StringBuilder buf=new StringBuilder(4);,StringBuilder buf = new StringBuilder((array[startIndex] == null ? 16 : array[startIndex].toString().length()) + separator.length());<EOS>StringBuilder buf=new StringBuilder(4);,1
patch2-Lang-59-CapGen-plausible.patch,ensureCapacity(size + width);,ensureCapacity((size) + 4);,ensureCapacity(size + width);<EOS>ensureCapacity((size) + 4);,1
patch2-Lang-6-SketchFix-plausible.patch,"pos += Character.charCount(Character.codePointAt(input, pos));","pos += Character.charCount(Character.codePointAt(input, writer != null));","pos += Character.charCount(Character.codePointAt(input, pos));<EOS>pos += Character.charCount(Character.codePointAt(input, writer != null));",1
patch3-Lang-59-CapGen-plausible.patch,if (width > 0) {,if (width > 0) {,if (width > 0) {<EOS>if (width > 0) {,1
patch4-Lang-59-CapGen-plausible.patch,"str.getChars(0, strLen, buffer, size);","str.getChars(0, strLen, buffer, size);","str.getChars(0, strLen, buffer, size);<EOS>str.getChars(0, strLen, buffer, size);",1
patch4-Lang-7-JGenProg2017.patch,return null;,return java.lang.Byte.parseByte(str);,return null;<EOS>return java.lang.Byte.parseByte(str);,1
patch5-Lang-59-CapGen-plausible.patch,"str.getChars(0, strLen, buffer, size);","str.getChars(0, strLen, buffer, size);","str.getChars(0, strLen, buffer, size);<EOS>str.getChars(0, strLen, buffer, size);",1
patch5-Lang-7-JGenProg2017.patch,return null;,"return org.apache.commons.lang3.math.Fraction.getFraction(java.lang.Integer.parseInt(str), 1);","return null;<EOS>return org.apache.commons.lang3.math.Fraction.getFraction(java.lang.Integer.parseInt(str), 1);",1
patch6-Lang-59-CapGen-plausible.patch,String str = (obj == null ? getNullText() : obj.toString());,String str = (obj == null ? getNullText() : obj.toString());,String str = (obj == null ? getNullText() : obj.toString());<EOS>String str = (obj == null ? getNullText() : obj.toString());,1
patch8-Lang-59-CapGen-plausible.patch,ensureCapacity(size + width);,ensureCapacity(size + (size) + 5);,ensureCapacity(size + width);<EOS>ensureCapacity(size + (size) + 5);,1
patch9-Lang-59-CapGen-plausible.patch,ensureCapacity(size + width);,ensureCapacity(size + (size) + 4);,ensureCapacity(size + width);<EOS>ensureCapacity(size + (size) + 4);,1
patch-Lang-6-reference.patch," pos += Character.charCount(Character.codePointAt(input, pos));"," pos += Character.charCount(Character.codePointAt(input, pt));"," pos += Character.charCount(Character.codePointAt(input, pos));<EOS> pos += Character.charCount(Character.codePointAt(input, pt));",0
patch-Lang-16-reference.patch,"if (str.startsWith(""0x"") || str.startsWith(""-0x"")) {","if (str.startsWith(""0x"") || str.startsWith(""-0x"") || str.startsWith(""0X"") || str.startsWith(""-0X"")) {","if (str.startsWith(""0x"") || str.startsWith(""-0x"")) {<EOS>if (str.startsWith(""0x"") || str.startsWith(""-0x"") || str.startsWith(""0X"") || str.startsWith(""-0X"")) {",0
patch-Lang-21-reference.patch,cal1.get(Calendar.HOUR) == cal2.get(Calendar.HOUR) &&,cal1.get(Calendar.HOUR_OF_DAY) == cal2.get(Calendar.HOUR_OF_DAY) &&,cal1.get(Calendar.HOUR) == cal2.get(Calendar.HOUR) &&<EOS>cal1.get(Calendar.HOUR_OF_DAY) == cal2.get(Calendar.HOUR_OF_DAY) &&,0
patch-Lang-22reference.patch,if (Math.abs(u) <= 1 || Math.abs(v) <= 1) {, if (Math.abs(u) == 1 || Math.abs(v) == 1) {,if (Math.abs(u) <= 1 || Math.abs(v) <= 1) {<EOS> if (Math.abs(u) == 1 || Math.abs(v) == 1) {,0
patch-Lang-24reference.patch,return foundDigit && !hasExp;,return foundDigit && !hasExp && !hasDecPoint;,return foundDigit && !hasExp;<EOS>return foundDigit && !hasExp && !hasDecPoint;,0
patch-Lang-26reference.patch,Calendar c = new GregorianCalendar(mTimeZone);,"Calendar c = new GregorianCalendar(mTimeZone, mLocale);","Calendar c = new GregorianCalendar(mTimeZone);<EOS>Calendar c = new GregorianCalendar(mTimeZone, mLocale);",0
patch-Lang-29-reference.patch,static float toJavaVersionInt(String version) {,static int toJavaVersionInt(String version) {,static float toJavaVersionInt(String version) {<EOS>static int toJavaVersionInt(String version) {,0
patch-Lang-22reference.patch,classes[i] = array[i].getClass();,classes[i] = array[i] == null ? null : array[i].getClass();,classes[i] = array[i].getClass();<EOS>classes[i] = array[i] == null ? null : array[i].getClass();,0
patch-Lang-46reference.patch," return escapeJavaStyleString(str, false);","return escapeJavaStyleString(str, false, false);"," return escapeJavaStyleString(str, false);<EOS>return escapeJavaStyleString(str, false, false);",0
patch-Lang-57reference.patch,return cAvailableLocaleSet.contains(locale);,return availableLocaleList().contains(locale);,return cAvailableLocaleSet.contains(locale);<EOS>return availableLocaleList().contains(locale);,0
patch-Lang-61-reference.patchint len = thisBuf.length - strLen;,int len = thisBuf.length - strLen;,int len = size - strLen + 1;,int len = thisBuf.length - strLen;<EOS>int len = size - strLen + 1;,0
